date,EPU_DUS,EPU_MG,EPU_MG_ppp
2015-01-01,137.22,129.69995996224776,134.64816295520373
2015-01-02,93.14,129.69995996224776,134.64816295520373
2015-01-03,79.59,129.69995996224776,134.64816295520373
2015-01-04,163.12,129.69995996224776,134.64816295520373
2015-01-05,90.66,129.69995996224776,134.64816295520373
2015-01-06,85.46,129.69995996224776,134.64816295520373
2015-01-07,57.14,129.69995996224776,134.64816295520373
2015-01-08,59.56,129.69995996224776,134.64816295520373
2015-01-09,44.45,129.69995996224776,134.64816295520373
2015-01-10,90.61,129.69995996224776,134.64816295520373
2015-01-11,110.37,129.69995996224776,134.64816295520373
2015-01-12,99.54,129.69995996224776,134.64816295520373
2015-01-13,68.71,129.69995996224776,134.64816295520373
2015-01-14,82.58,129.69995996224776,134.64816295520373
2015-01-15,88.27,129.69995996224776,134.64816295520373
2015-01-16,50.91,129.69995996224776,134.64816295520373
2015-01-17,78.8,129.69995996224776,134.64816295520373
2015-01-18,131.37,129.69995996224776,134.64816295520373
2015-01-19,72.54,129.69995996224776,134.64816295520373
2015-01-20,74.06,129.69995996224776,134.64816295520373
2015-01-21,43.82,129.69995996224776,134.64816295520373
2015-01-22,85.21,129.69995996224776,134.64816295520373
2015-01-23,82.9,129.69995996224776,134.64816295520373
2015-01-24,75.04,129.69995996224776,134.64816295520373
2015-01-25,87.69,129.69995996224776,134.64816295520373
2015-01-26,54.5,129.69995996224776,134.64816295520373
2015-01-27,55.58,129.69995996224776,134.64816295520373
2015-01-28,77.51,129.69995996224776,134.64816295520373
2015-01-29,32.14,129.69995996224776,134.64816295520373
2015-01-30,65.15,129.69995996224776,134.64816295520373
2015-01-31,82.5,129.69995996224776,134.64816295520373
2015-02-01,66.55,115.91893329454298,122.2238527062427
2015-02-02,79.45,115.91893329454298,122.2238527062427
2015-02-03,65.6,115.91893329454298,122.2238527062427
2015-02-04,67.26,115.91893329454298,122.2238527062427
2015-02-05,115.17,115.91893329454298,122.2238527062427
2015-02-06,59.12,115.91893329454298,122.2238527062427
2015-02-07,48.01,115.91893329454298,122.2238527062427
2015-02-08,75.83,115.91893329454298,122.2238527062427
2015-02-09,87.49,115.91893329454298,122.2238527062427
2015-02-10,83.73,115.91893329454298,122.2238527062427
2015-02-11,50.54,115.91893329454298,122.2238527062427
2015-02-12,26.96,115.91893329454298,122.2238527062427
2015-02-13,54.65,115.91893329454298,122.2238527062427
2015-02-14,56.6,115.91893329454298,122.2238527062427
2015-02-15,67.8,115.91893329454298,122.2238527062427
2015-02-16,37.41,115.91893329454298,122.2238527062427
2015-02-17,50.67,115.91893329454298,122.2238527062427
2015-02-18,37.15,115.91893329454298,122.2238527062427
2015-02-19,102.56,115.91893329454298,122.2238527062427
2015-02-20,35.63,115.91893329454298,122.2238527062427
2015-02-21,50.96,115.91893329454298,122.2238527062427
2015-02-22,62.23,115.91893329454298,122.2238527062427
2015-02-23,76.09,115.91893329454298,122.2238527062427
2015-02-24,128.86,115.91893329454298,122.2238527062427
2015-02-25,74.82,115.91893329454298,122.2238527062427
2015-02-26,74.61,115.91893329454298,122.2238527062427
2015-02-27,116.63,115.91893329454298,122.2238527062427
2015-02-28,70.02,115.91893329454298,122.2238527062427
2015-03-01,90.02,112.75988701401899,117.28920483557339
2015-03-02,91.47,112.75988701401899,117.28920483557339
2015-03-03,37.66,112.75988701401899,117.28920483557339
2015-03-04,89.94,112.75988701401899,117.28920483557339
2015-03-05,69.01,112.75988701401899,117.28920483557339
2015-03-06,47.16,112.75988701401899,117.28920483557339
2015-03-07,72.56,112.75988701401899,117.28920483557339
2015-03-08,70.57,112.75988701401899,117.28920483557339
2015-03-09,63.31,112.75988701401899,117.28920483557339
2015-03-10,85.17,112.75988701401899,117.28920483557339
2015-03-11,44.39,112.75988701401899,117.28920483557339
2015-03-12,33.9,112.75988701401899,117.28920483557339
2015-03-13,52.24,112.75988701401899,117.28920483557339
2015-03-14,39.04,112.75988701401899,117.28920483557339
2015-03-15,36.66,112.75988701401899,117.28920483557339
2015-03-16,53.97,112.75988701401899,117.28920483557339
2015-03-17,37.53,112.75988701401899,117.28920483557339
2015-03-18,78.2,112.75988701401899,117.28920483557339
2015-03-19,52.74,112.75988701401899,117.28920483557339
2015-03-20,56.33,112.75988701401899,117.28920483557339
2015-03-21,39.84,112.75988701401899,117.28920483557339
2015-03-22,67.02,112.75988701401899,117.28920483557339
2015-03-23,108.15,112.75988701401899,117.28920483557339
2015-03-24,34.47,112.75988701401899,117.28920483557339
2015-03-25,52.7,112.75988701401899,117.28920483557339
2015-03-26,46.77,112.75988701401899,117.28920483557339
2015-03-27,61.09,112.75988701401899,117.28920483557339
2015-03-28,68.89,112.75988701401899,117.28920483557339
2015-03-29,87.06,112.75988701401899,117.28920483557339
2015-03-30,74.41,112.75988701401899,117.28920483557339
2015-03-31,88.25,112.75988701401899,117.28920483557339
2015-04-01,85.27,101.82656972180595,100.50007677780107
2015-04-02,27.58,101.82656972180595,100.50007677780107
2015-04-03,69.18,101.82656972180595,100.50007677780107
2015-04-04,123.38,101.82656972180595,100.50007677780107
2015-04-05,106.94,101.82656972180595,100.50007677780107
2015-04-06,56.3,101.82656972180595,100.50007677780107
2015-04-07,77.07,101.82656972180595,100.50007677780107
2015-04-08,55.11,101.82656972180595,100.50007677780107
2015-04-09,43.26,101.82656972180595,100.50007677780107
2015-04-10,41.28,101.82656972180595,100.50007677780107
2015-04-11,55.3,101.82656972180595,100.50007677780107
2015-04-12,109.48,101.82656972180595,100.50007677780107
