date,TotRes,UnemRt,IndPro,CPIPrc
2015-01-01,12187615.5899265,7.24792462196,1538620156444.79,113.89708355763
2015-01-02,12187615.5899265,7.24792462196,1538620156444.79,113.89708355763
2015-01-03,12187615.5899265,7.24792462196,1538620156444.79,113.89708355763
2015-01-04,12187615.5899265,7.24792462196,1538620156444.79,113.89708355763
2015-01-05,12187615.5899265,7.24792462196,1538620156444.79,113.89708355763
2015-01-06,12187615.5899265,7.24792462196,1538620156444.79,113.89708355763
2015-01-07,12187615.5899265,7.24792462196,1538620156444.79,113.89708355763
2015-01-08,12187615.5899265,7.24792462196,1538620156444.79,113.89708355763
2015-01-09,12187615.5899265,7.24792462196,1538620156444.79,113.89708355763
2015-01-10,12187615.5899265,7.24792462196,1538620156444.79,113.89708355763
2015-01-11,12187615.5899265,7.24792462196,1538620156444.79,113.89708355763
2015-01-12,12187615.5899265,7.24792462196,1538620156444.79,113.89708355763
2015-01-13,12187615.5899265,7.24792462196,1538620156444.79,113.89708355763
2015-01-14,12187615.5899265,7.24792462196,1538620156444.79,113.89708355763
2015-01-15,12187615.5899265,7.24792462196,1538620156444.79,113.89708355763
2015-01-16,12187615.5899265,7.24792462196,1538620156444.79,113.89708355763
2015-01-17,12187615.5899265,7.24792462196,1538620156444.79,113.89708355763
2015-01-18,12187615.5899265,7.24792462196,1538620156444.79,113.89708355763
2015-01-19,12187615.5899265,7.24792462196,1538620156444.79,113.89708355763
2015-01-20,12187615.5899265,7.24792462196,1538620156444.79,113.89708355763
2015-01-21,12187615.5899265,7.24792462196,1538620156444.79,113.89708355763
2015-01-22,12187615.5899265,7.24792462196,1538620156444.79,113.89708355763
2015-01-23,12187615.5899265,7.24792462196,1538620156444.79,113.89708355763
2015-01-24,12187615.5899265,7.24792462196,1538620156444.79,113.89708355763
2015-01-25,12187615.5899265,7.24792462196,1538620156444.79,113.89708355763
2015-01-26,12187615.5899265,7.24792462196,1538620156444.79,113.89708355763
2015-01-27,12187615.5899265,7.24792462196,1538620156444.79,113.89708355763
2015-01-28,12187615.5899265,7.24792462196,1538620156444.79,113.89708355763
