date,TwitSIX
2015-01-01,0.5855485588559668
2015-01-02,0.5608542718423025
2015-01-03,0.5625504756272647
2015-01-04,0.558479183490851
2015-01-05,0.5478148949402342
2015-01-06,0.5513904582893834
2015-01-07,0.5491484294201013
2015-01-08,0.5491878833883229
2015-01-09,0.5533139636595346
2015-01-10,0.5628223557636041
2015-01-11,0.5600408347527279
2015-01-12,0.5539309903814131
2015-01-13,0.5501790961489151
2015-01-14,0.5527131395471783
2015-01-15,0.5526718271629482
2015-01-16,0.5583020362362442
2015-01-17,0.5648885596159396
2015-01-18,0.5606252856394258
2015-01-19,0.5529016757977654
2015-01-20,0.5514297814375988
2015-01-21,0.547192804592726
2015-01-22,0.5460987107129741
2015-01-23,0.5524077405082536
2015-01-24,0.5610692438449701
2015-01-25,0.55877294774071
2015-01-26,0.5455824438871183
2015-01-27,0.5443834103059393
2015-01-28,0.5479677451729441
2015-01-29,0.5485287912337581
2015-01-30,0.5528863751552449
2015-01-31,0.5627842323927023
2015-02-01,0.5658332327811043
2015-02-02,0.5476138000568002
2015-02-03,0.5515083441470894
2015-02-04,0.5521308714196296
2015-02-05,0.5526087553492477
2015-02-06,0.5564791396110346
2015-02-07,0.5641925668512572
2015-02-08,0.5606348074469292
2015-02-09,0.552170370161292
2015-02-10,0.5504179823371097
2015-02-11,0.5525560295971211
2015-02-12,0.5532585523603828
2015-02-13,0.5608530976864231
2015-02-14,0.5794547479085226
2015-02-15,0.5658168334546083
2015-02-16,0.5520012989309772
2015-02-17,0.5503062390694011
2015-02-18,0.5484584028735943
2015-02-19,0.5507183356657567
2015-02-20,0.5567275571751741
2015-02-21,0.5616117777437815
2015-02-22,0.5596406114185215
2015-02-23,0.5526234533508265
2015-02-24,0.5491571929923329
2015-02-25,0.5515566869164755
2015-02-26,0.551202945504976
2015-02-27,0.5552888955785605
2015-02-28,0.5656584459570019
2015-03-01,0.5659235207165983
2015-03-02,0.5490986685287739
2015-03-03,0.5500327298238615
2015-03-04,0.5514853494348598
2015-03-05,0.551824375901443
2015-03-06,0.5569025419879409
2015-03-07,0.56671683264057
2015-03-08,0.5703302267091525
2015-03-09,0.5483527381280537
2015-03-10,0.5494195038358495
2015-03-11,0.5505123372146328
2015-03-12,0.5544139765485684
2015-03-13,0.5609427600282695
2015-03-14,0.5676165031066552
2015-03-15,0.5632818548659556
2015-03-16,0.5503831309675573
2015-03-17,0.5540858537764576
2015-03-18,0.5540374352192524
2015-03-19,0.5540772043111389
2015-03-20,0.5595485244996171
2015-03-21,0.5678266374567266
2015-03-22,0.5628385693986547
2015-03-23,0.5515832197414088
2015-03-24,0.5531186031516044
2015-03-25,0.547355961258086
2015-03-26,0.5511367275177252
2015-03-27,0.5631457181375198
2015-03-28,0.5665846217164093
2015-03-29,0.5648845649009366
2015-03-30,0.5535555139303275
2015-03-31,0.5546039825792494
2015-04-01,0.5558485762964922
2015-04-02,0.5585731293017214
2015-04-03,0.563785872412353
2015-04-04,0.5655412517290981
2015-04-05,0.569583551743517
2015-04-06,0.5538186154783087
2015-04-07,0.551931888931618
2015-04-08,0.5527934069143652
2015-04-09,0.5527498224820774
2015-04-10,0.5562646764002328
2015-04-11,0.5677082587194807
2015-04-12,0.5653026074481441
2015-04-13,0.5511609805189089
2015-04-14,0.5487528007160135
2015-04-15,0.5494985791253417
2015-04-16,0.5522679463052251
2015-04-17,0.5566740926411419
2015-04-18,0.5643547401538107
2015-04-19,0.5582456752794385
2015-04-20,0.5481633663544355
2015-04-21,0.5493540570273077
2015-04-22,0.5493907983224207
2015-04-23,0.5525455201783432
