date,symbol,high,low,open,close
2013-05-03,GOLDBLN,1487.8,1455.9,1475.69,1467.85
2013-05-04,GOLDBLN,1487.8,1455.9,1475.69,1467.85
2013-05-05,GOLDBLN,1487.8,1455.9,1475.69,1467.85
2013-05-06,GOLDBLN,1478.45,1465.59,1477.24,1468.4
2013-05-07,GOLDBLN,1470.17,1441.11,1461.55,1446.45
2013-05-08,GOLDBLN,1469.9,1447.29,1453.3,1467.55
2013-05-09,GOLDBLN,1475.51,1459.5,1471.94,1465.36
2013-05-10,GOLDBLN,1461.86,1420.61,1460.45,1423.47
2013-05-11,GOLDBLN,1461.86,1420.61,1460.45,1423.47
2013-05-12,GOLDBLN,1461.86,1420.61,1460.45,1423.47
2013-05-13,GOLDBLN,1448.19,1425.84,1436.79,1433.3
2013-05-14,GOLDBLN,1444.96,1421.65,1442.4,1435.55
2013-05-15,GOLDBLN,1430.24,1393.25,1422.88,1394.8
2013-05-16,GOLDBLN,1397.91,1369.29,1396.09,1389.68
2013-05-17,GOLDBLN,1392.46,1359.14,1387.68,1364.24
2013-05-18,GOLDBLN,1392.46,1359.14,1387.68,1364.24
2013-05-19,GOLDBLN,1392.46,1359.14,1387.68,1364.24
2013-05-20,GOLDBLN,1365.0,1338.95,1346.15,1361.35
2013-05-21,GOLDBLN,1400.9,1359.44,1398.47,1366.28
2013-05-22,GOLDBLN,1414.25,1368.16,1378.38,1379.09
2013-05-23,GOLDBLN,1397.35,1356.24,1373.12,1382.65
2013-05-24,GOLDBLN,1397.95,1383.69,1392.6,1387.51
2013-05-25,GOLDBLN,1397.95,1383.69,1392.6,1387.51
2013-05-26,GOLDBLN,1397.95,1383.69,1392.6,1387.51
2013-05-27,GOLDBLN,1397.95,1383.69,1392.05,1393.8
2013-05-28,GOLDBLN,1395.91,1373.14,1389.49,1386.3
2013-05-29,GOLDBLN,1394.04,1379.49,1383.3,1387.92
2013-05-30,GOLDBLN,1417.81,1388.19,1402.65,1415.95
