date,UnemRt,TotRes,IndPro,CPIPrc
2015-01-01,7.2482432579,12187615.5899265,1538630923021.58,113.89708355763
2015-01-02,7.2482432579,12187615.5899265,1538630923021.58,113.89708355763
2015-01-03,7.2482432579,12187615.5899265,1538630923021.58,113.89708355763
2015-01-04,7.2482432579,12187615.5899265,1538630923021.58,113.89708355763
2015-01-05,7.2482432579,12187615.5899265,1538630923021.58,113.89708355763
2015-01-06,7.2482432579,12187615.5899265,1538630923021.58,113.89708355763
2015-01-07,7.2482432579,12187615.5899265,1538630923021.58,113.89708355763
2015-01-08,7.2482432579,12187615.5899265,1538630923021.58,113.89708355763
2015-01-09,7.2482432579,12187615.5899265,1538630923021.58,113.89708355763
2015-01-10,7.2482432579,12187615.5899265,1538630923021.58,113.89708355763
2015-01-11,7.2482432579,12187615.5899265,1538630923021.58,113.89708355763
2015-01-12,7.2482432579,12187615.5899265,1538630923021.58,113.89708355763
2015-01-13,7.2482432579,12187615.5899265,1538630923021.58,113.89708355763
2015-01-14,7.2482432579,12187615.5899265,1538630923021.58,113.89708355763
2015-01-15,7.2482432579,12187615.5899265,1538630923021.58,113.89708355763
2015-01-16,7.2482432579,12187615.5899265,1538630923021.58,113.89708355763
2015-01-17,7.2482432579,12187615.5899265,1538630923021.58,113.89708355763
2015-01-18,7.2482432579,12187615.5899265,1538630923021.58,113.89708355763
2015-01-19,7.2482432579,12187615.5899265,1538630923021.58,113.89708355763
2015-01-20,7.2482432579,12187615.5899265,1538630923021.58,113.89708355763
2015-01-21,7.2482432579,12187615.5899265,1538630923021.58,113.89708355763
2015-01-22,7.2482432579,12187615.5899265,1538630923021.58,113.89708355763
2015-01-23,7.2482432579,12187615.5899265,1538630923021.58,113.89708355763
2015-01-24,7.2482432579,12187615.5899265,1538630923021.58,113.89708355763
2015-01-25,7.2482432579,12187615.5899265,1538630923021.58,113.89708355763
2015-01-26,7.2482432579,12187615.5899265,1538630923021.58,113.89708355763
2015-01-27,7.2482432579,12187615.5899265,1538630923021.58,113.89708355763
2015-01-28,7.2482432579,12187615.5899265,1538630923021.58,113.89708355763
2015-01-29,7.2482432579,12187615.5899265,1538630923021.58,113.89708355763
2015-01-30,7.2482432579,12187615.5899265,1538630923021.58,113.89708355763
2015-01-31,7.2482432579,12187615.5899265,1538630923021.58,113.89708355763
2015-02-01,7.27506624399,12174269.7923105,1538878449042.88,114.27141473929
2015-02-02,7.27506624399,12174269.7923105,1538878449042.88,114.27141473929
2015-02-03,7.27506624399,12174269.7923105,1538878449042.88,114.27141473929
2015-02-04,7.27506624399,12174269.7923105,1538878449042.88,114.27141473929
2015-02-05,7.27506624399,12174269.7923105,1538878449042.88,114.27141473929
2015-02-06,7.27506624399,12174269.7923105,1538878449042.88,114.27141473929
2015-02-07,7.27506624399,12174269.7923105,1538878449042.88,114.27141473929
2015-02-08,7.27506624399,12174269.7923105,1538878449042.88,114.27141473929
2015-02-09,7.27506624399,12174269.7923105,1538878449042.88,114.27141473929
2015-02-10,7.27506624399,12174269.7923105,1538878449042.88,114.27141473929
2015-02-11,7.27506624399,12174269.7923105,1538878449042.88,114.27141473929
2015-02-12,7.27506624399,12174269.7923105,1538878449042.88,114.27141473929
2015-02-13,7.27506624399,12174269.7923105,1538878449042.88,114.27141473929
2015-02-14,7.27506624399,12174269.7923105,1538878449042.88,114.27141473929
2015-02-15,7.27506624399,12174269.7923105,1538878449042.88,114.27141473929
2015-02-16,7.27506624399,12174269.7923105,1538878449042.88,114.27141473929
2015-02-17,7.27506624399,12174269.7923105,1538878449042.88,114.27141473929
2015-02-18,7.27506624399,12174269.7923105,1538878449042.88,114.27141473929
2015-02-19,7.27506624399,12174269.7923105,1538878449042.88,114.27141473929
2015-02-20,7.27506624399,12174269.7923105,1538878449042.88,114.27141473929
2015-02-21,7.27506624399,12174269.7923105,1538878449042.88,114.27141473929
2015-02-22,7.27506624399,12174269.7923105,1538878449042.88,114.27141473929
2015-02-23,7.27506624399,12174269.7923105,1538878449042.88,114.27141473929
2015-02-24,7.27506624399,12174269.7923105,1538878449042.88,114.27141473929
2015-02-25,7.27506624399,12174269.7923105,1538878449042.88,114.27141473929
