symbol,n,nobs,n_regs,regs_used,opt_hac_lag,r2,adj_r2,aic,bic,log_likelihood,fstat,f_pval,durbin_watson,coef_Intercept,stderr_Intercept,tval_Intercept,pval_Intercept,coef_log_daily_return,stderr_log_daily_return,tval_log_daily_return,pval_log_daily_return,coef_diff_ConSIX,stderr_diff_ConSIX,tval_diff_ConSIX,pval_diff_ConSIX,coef_log_diff_AdrActCnt,stderr_log_diff_AdrActCnt,tval_log_diff_AdrActCnt,pval_log_diff_AdrActCnt,coef_log_diff_volume_trusted_spot_usd_1d,stderr_log_diff_volume_trusted_spot_usd_1d,tval_log_diff_volume_trusted_spot_usd_1d,pval_log_diff_volume_trusted_spot_usd_1d,coef_log_diff_TxCnt,stderr_log_diff_TxCnt,tval_log_diff_TxCnt,pval_log_diff_TxCnt,coef_log_UnemRt,stderr_log_UnemRt,tval_log_UnemRt,pval_log_UnemRt,coef_log_IndPro,stderr_log_IndPro,tval_log_IndPro,pval_log_IndPro,coef_log_CPIPrc,stderr_log_CPIPrc,tval_log_CPIPrc,pval_log_CPIPrc,coef_log_TotRes,stderr_log_TotRes,tval_log_TotRes,pval_log_TotRes
1INCH,1616,1616,9,"log_daily_return,diff_ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.004987929933443325,-0.0006978533240800111,10029.128610295073,10082.812007158187,-5004.564305147536,0.7591681250423292,0.6545148788696648,1.9904004096555137,-0.07916058068405239,0.15126294583365119,-0.5233309469664029,0.6008175873649575,-0.15346195252847097,0.2205925264769394,-0.6956806514680985,0.4867314789208169,0.14204434967473586,0.10380804090812831,1.3683366763509897,0.17140187322535838,0.1882418064868383,0.3061981281680586,0.6147712515849239,0.5387946003034086,0.2125078313618761,0.19431410176001904,1.0936305159381927,0.2742842926195181,-0.15352315943563427,0.3463557727803746,-0.44325278081328195,0.6576437822756649,0.6959564863782883,0.5392771447589969,1.290535846256402,0.19705409061236698,-0.2858236818040436,0.639392765440744,-0.4470236406366291,0.6549194542392992,0.8281609848783255,0.7023176829205202,1.179182875525073,0.23850345898679515,-0.09281517825989519,0.17103940384148147,-0.542653775535349,0.5874449823838083
AAVE,1694,1694,9,"log_daily_return,diff_ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.014514258611412534,0.009151881542188045,10687.625690273555,10741.795486487366,-5333.8128451367775,2.545417511670168,0.006662372432251238,1.906089152457142,0.04741798671770284,0.14933436952989584,0.31752895778094836,0.750882349293404,-0.7531527174627235,0.20231750957926958,-3.7226274632825707,0.0002037636244278971,0.1432704836801051,0.19274044467098853,0.7433337819919967,0.4573851928821683,0.015487716279073194,0.3668651307536839,0.04221637593972311,0.9663313034937154,0.11926075556022152,0.3480703493411045,0.342634055977424,0.731917314864077,0.017688745355041467,0.480496573519965,0.036813468253185135,0.9706381775604462,0.7704432641779442,0.47222535143299205,1.63151610103099,0.10297183402520682,0.41683387043857145,0.7122875679611124,0.5852044724460622,0.558490064218969,0.27467585510041365,0.7062702610531393,0.38891040759784623,0.6973924820648225,-0.11966267356122029,0.1509944513270967,-0.7924971580710412,0.4281844998990473
ADA,2738,2738,9,"log_daily_return,diff_ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.008827553902750807,0.005521196595532407,17219.640379294837,17278.68003563516,-8599.820189647418,2.634297070575808,0.004915983758448349,2.0401504881284658,0.07273046887040507,0.11086017304790992,0.6560558843704266,0.5118441111067931,-0.4179979391035873,0.18837758662260107,-2.218936693042,0.026573939082347828,-0.4046208208906322,0.2410948873835803,-1.6782637959754132,0.09341142385340953,-0.2881298890650777,0.22247653930208913,-1.2951023508768327,0.19539573338382363,0.07091480028064531,0.13543462221627384,0.5236090972912552,0.6005934570141725,0.3459182927282005,0.20951785840590254,1.6510205638797963,0.09885075884513436,0.619494092447523,0.2624716191447587,2.3602326775980256,0.018334273515995685,0.03574294457436333,0.3189174500609653,0.1120758508746718,0.9107716022426978,0.4853133773642471,0.2375158221006915,2.0432886241932353,0.04112083187895049,-0.11572106122487791,0.2008562134476226,-0.5761388171098554,0.5645694114402124
ALGO,2170,2170,9,"log_daily_return,diff_ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.013647512455618238,0.009479825888529358,13724.358705082406,13781.044316162564,-6852.179352541203,3.0087927063891584,0.001424243544219942,2.0190362639605164,-0.09431439196328503,0.1278295778627568,-0.7378135290765406,0.46070904447545113,-0.23532218711827513,0.18737583366945307,-1.255883336233228,0.20929600997241238,-0.4718358760509771,0.17774022627388666,-2.6546375344650865,0.007998466620383986,-0.10515617178495032,0.12940936544479556,-0.8125854834657129,0.4165465664959024,0.1128940043219849,0.13347813977965833,0.8457864674196607,0.39776687811017575,0.35912814953859157,0.14522622689955797,2.4728876953263645,0.01348015409006623,0.5726521533249336,0.35256591705749346,1.624241384715444,0.10447226036460294,-0.12452200005856362,0.3577097817512979,-0.34810901577508174,0.7277927129452704,0.5790128102826447,0.27245306852689066,2.1251836634223746,0.03368610447305121,0.17694068710374627,0.2052944269362365,0.8618874352527028,0.38884648306215785
ALPHA,1693,1693,9,"log_daily_return,diff_ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.007794852002757202,0.002392646115294994,11138.812804981604,11192.976589773534,-5559.406402490802,0.7684885109689368,0.6458056025483494,2.0222479549801538,0.018031176327324448,0.17305598635470046,0.10419273384953721,0.9170290400325346,-0.19346782786666986,0.24744638545929637,-0.7818575628315019,0.4344102607666772,0.0267469397967159,0.1689956117000577,0.15827002563940995,0.8742633585387525,0.09149272659063562,0.2778362454346032,0.329304502540764,0.7419672602293415,0.32032702435460847,0.23070966549217892,1.3884421516161731,0.16518951568838186,-0.17409878323902306,0.3274476910219509,-0.5316842598451919,0.59501613761837,1.0535141657871028,0.5708251302525518,1.8455987831527205,0.06512921459045594,-0.23485741634704066,0.7467447127956297,-0.3145083082915872,0.7531746979931495,0.9107269426557827,0.7237048097661016,1.2584232277662017,0.20841644646697677,-0.16905927038281526,0.17139571331724243,-0.9863681366983632,0.3240968473233461
ANT,2627,2627,9,"log_daily_return,diff_ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.02201928079307436,0.01865595390241237,18488.101342173675,18546.837320070532,-9234.050671086838,2.846545172021907,0.0024390502931446057,2.1130423261955023,0.024995901469129486,0.15901209142246037,0.1571949733226314,0.8751033160849367,-1.3751035949938666,0.33531249062209467,-4.100961441796219,4.239855856222328e-05,0.5507650310843002,0.27415680887351074,2.0089416467435237,0.044645846529679616,-0.26849125861637857,0.30214016152707523,-0.8886314790439359,0.37428283662101747,0.16265217903810045,0.16621174698580596,0.9785841373292978,0.327875952074562,0.5214379364819087,0.30650441379965954,1.7012411991650345,0.08901649574335818,0.2412747818832888,0.3577771311661927,0.6743717271611,0.5001345774597625,-0.30136165135193155,0.4243953746618167,-0.7100964556743209,0.4777075921355518,0.4253780434804463,0.2946826128707229,1.4435125280603487,0.1489958364500063,0.04739587287456262,0.3154282965339647,0.15025878589639827,0.8805720273223863
BAL,1801,1801,9,"log_daily_return,diff_ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.02447193265889236,0.019486269623077646,11246.836922311097,11301.629918688925,-5613.418461155548,3.339575590362893,0.00046313656667043286,1.9154178605356547,-0.14616473500244942,0.1400848885792091,-1.0434011582898364,0.29690574841914924,-0.6947601173759492,0.2087594140342295,-3.328042093766521,0.0008926090782883834,-0.19638238074195774,0.15645252637822718,-1.2552202593852613,0.20956535238646498,-0.19511937829776632,0.24906439371001782,-0.7834093641058186,0.43349210536913785,-0.4601761070711977,0.20128512358415607,-2.2861903496748033,0.02236139523132057,0.7244328270810427,0.2654687581606107,2.7288816661535558,0.006418152288563717,0.30726086455631435,0.47965809624657835,0.6405830881636165,0.5218769338624762,0.08693705963522369,0.6734233275262066,0.1290971905511255,0.8972954873360712,0.08166218270267438,0.49598332838560527,0.16464703152115953,0.8692407066881485,-0.06729157898967117,0.14696826390094095,-0.45786469271370595,0.6471061421974269
BAT,2794,2794,9,"log_daily_return,diff_ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.007362653003399999,0.004118740104718355,17695.65451476622,17754.898856615095,-8837.82725738311,1.4261957120942437,0.17081771557488457,2.0235725852370208,-0.01950606625734677,0.11135549369114456,-0.17516932133989518,0.8609594666758937,-0.44242027385097077,0.17319458444521765,-2.554469444111924,0.010688337298412245,-0.31300253197249317,0.16253495579456811,-1.925755173355476,0.054237789238069566,0.16929617162773278,0.254396251410018,0.6654821786460726,0.5057978676407764,-0.052332736024896166,0.14486966003177584,-0.36124013829684876,0.7179476481511033,-0.12309841619025991,0.26821919565075203,-0.4589470783088405,0.6463083885599414,0.3287813640657491,0.2724540144063667,1.2067407587372518,0.2276356401985483,0.137456324238239,0.32357751763184134,0.4248018380394199,0.6710143228355168,0.10490376283059291,0.2524353390473563,0.4155668664557033,0.6777593519893659,-0.07381924042392551,0.24415908331611488,-0.30234075022452106,0.7624151480496372
BCH,2860,2860,9,"log_daily_return,diff_ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0011335501243516788,-0.002054321524187719,18268.94954426969,18328.42986417606,-9124.474772134845,0.5225802827118223,0.8592178539416737,1.9832272028408156,0.007959084034218529,0.11374744621167045,0.0699715404546984,0.9442212727774104,0.1688787476274157,0.14940902265443473,1.1303115744088101,0.25844108453564113,-0.07611180125523777,0.13978969201619365,-0.5444736314779258,0.5861586381519744,-0.12418766519735984,0.21128487117303368,-0.5877735803225362,0.5567313417745152,0.03944485287570043,0.1461713017185294,0.2698536060905874,0.7872926251929725,0.09369002882151557,0.1780342088859652,0.5262473398105534,0.598757749868164,0.24659588627280254,0.24833823800510138,0.9929839570970015,0.320802966306799,0.10176399706384062,0.33541770069664306,0.3033948323313967,0.7616113640362794,0.2233040307672584,0.20590567449585367,1.084496730427675,0.27823732238756516,-0.16392892279511093,0.20387744355938697,-0.8040562012803563,0.42143229165842067
BNB,2877,2877,9,"log_daily_return,diff_ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.008949529634551867,0.005805555636212323,18036.862293341743,18096.402504214522,-9008.431146670871,1.9362102550277283,0.04289171010702068,1.99058588037779,0.3157968231806807,0.10638753145905823,2.968363104676517,0.00301895873016186,0.3480569459455407,0.27381341186716185,1.2711464481308807,0.2037807646129972,0.12903113725416404,0.13589893470579914,0.9494639346032928,0.3424655788858756,-0.11937282063156793,0.49741186684770394,-0.2399878824525856,0.8103569886916057,0.11260872846003021,0.12080475135988039,0.9321547968305153,0.3513358519188715,-0.19017346260257295,0.5108346335135424,-0.37227989279926416,0.7097122739389055,0.3912130019346559,0.24525685969393318,1.5951154329500419,0.11079780973954144,0.23306591296902082,0.3098786321774613,0.7521199875296617,0.45204129928945,0.043101479053198,0.1867473928065824,0.23080096811760564,0.8174860712827828,-0.29623358142640854,0.18458256679381582,-1.604883855349732,0.1086306694453177
