symbol,n,nobs,n_regs,regs_used,opt_hac_lag,r2,adj_r2,aic,bic,log_likelihood,fstat,f_pval,durbin_watson,coef_Intercept,stderr_Intercept,tval_Intercept,pval_Intercept,coef_log_daily_return,stderr_log_daily_return,tval_log_daily_return,pval_log_daily_return,coef_diff_VIX,stderr_diff_VIX,tval_diff_VIX,pval_diff_VIX,coef_log_diff_AdrActCnt,stderr_log_diff_AdrActCnt,tval_log_diff_AdrActCnt,pval_log_diff_AdrActCnt,coef_log_diff_volume_trusted_spot_usd_1d,stderr_log_diff_volume_trusted_spot_usd_1d,tval_log_diff_volume_trusted_spot_usd_1d,pval_log_diff_volume_trusted_spot_usd_1d,coef_log_diff_TxCnt,stderr_log_diff_TxCnt,tval_log_diff_TxCnt,pval_log_diff_TxCnt,coef_log_UnemRt,stderr_log_UnemRt,tval_log_UnemRt,pval_log_UnemRt,coef_log_IndPro,stderr_log_IndPro,tval_log_IndPro,pval_log_IndPro,coef_log_CPIPrc,stderr_log_CPIPrc,tval_log_CPIPrc,pval_log_CPIPrc,coef_log_TotRes,stderr_log_TotRes,tval_log_TotRes,pval_log_TotRes
1INCH,1616,1616,9,"log_daily_return,diff_VIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.004740008293812159,-0.0009471916587946438,10029.523486762864,10083.206883625979,-5004.761743381432,0.5775297814224507,0.8164705769065278,1.989153101749677,-0.0792840568235727,0.15108358719600176,-0.5247694888308215,0.5998172969830706,-0.11820083712683349,0.23217752253979135,-0.5090968145143157,0.610755676836218,0.11452348837156351,0.19649219481947575,0.5828398857103726,0.5600845261652281,0.1919775244990842,0.30562628292323585,0.6281446826590604,0.5300002332626861,0.2036553035946091,0.1939933205049884,1.0498057513757142,0.2939684849494788,-0.15758031345947465,0.34488345900991685,-0.4569088755716277,0.6477995524659128,0.6881214313691608,0.5372803968192653,1.2807491869103809,0.20047033991555274,-0.30614708675553737,0.6406234208609533,-0.4778893134192581,0.6327953049973933,0.8403831854504097,0.7018678707035291,1.1973524085210474,0.23134939911222036,-0.09782098431072743,0.17095438662694554,-0.5722051726241522,0.5672646447238998
AAVE,1694,1694,9,"log_daily_return,diff_VIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0145374211370215,0.009175170103305152,10687.586579717263,10741.756375931074,-5333.793289858631,3.3578613419639094,0.0004367965611373033,1.9278719282103178,0.048186880033386524,0.1493353305871082,0.32267568460819673,0.7469816520499315,-0.6651722566299854,0.13294604651825248,-5.003324837784193,6.23492139938445e-07,-0.11725832388429154,0.17223286872251262,-0.6808126971002758,0.4960853095811695,0.017576383390119577,0.36619241428911614,0.04799767200049828,0.961723892644748,0.12238438954840986,0.34684326154537387,0.35285214711429413,0.7242442472350865,0.006635376459039263,0.4795370964922564,0.01383704515787427,0.9889616563669446,0.7658083021114035,0.47306939266283476,1.618807544915951,0.10567932943339112,0.3977973954317554,0.7132987576446789,0.557686931553459,0.5771336512098388,0.28862506075024247,0.704394904764375,0.4097489331595741,0.6820431908372577,-0.12164852063317491,0.15070720119843348,-0.8071845251309688,0.41967623687273625
ADA,2738,2738,9,"log_daily_return,diff_VIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.007549961224862289,0.00423934211849597,17223.128665474793,17282.168321815116,-8601.564332737396,2.2519105291846193,0.016615878039083994,2.0545280996319613,0.07273575582578301,0.1109525519118278,0.6555573042031961,0.5121648978879578,-0.14847566707497978,0.08897097262029938,-1.6688102051961156,0.09527102468437043,0.226624783634031,0.1465604697677397,1.5462886001469047,0.12215216526159625,-0.2966235871601718,0.2222600429781575,-1.3345790056799474,0.18212678816110092,0.05282504074848627,0.13675877891414248,0.38626434930111486,0.699331358387514,0.3467951951491063,0.2096948762384902,1.6538086259899318,0.09828273340564891,0.6046393051977084,0.2607623548025094,2.3187369421312254,0.020483677887679807,-0.0017928142946470604,0.3167502842639162,-0.005660024264266448,0.9954843965879194,0.49716193146694526,0.2375978077553275,2.0924516777482673,0.0364913504944776,-0.09773643963117604,0.19880103930676415,-0.4916294199064108,0.6230213346224251
ALGO,2170,2170,9,"log_daily_return,diff_VIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.008124201838482059,0.0039331773392080605,13736.308706525964,13792.994317606122,-6858.154353262982,1.8100579042901697,0.0617402515920988,2.0513586142207454,-0.0940461091428775,0.12813135320274818,-0.733982017610194,0.46304048167796874,-0.06724886883839687,0.2328922146888389,-0.2887553322821302,0.772796714491709,0.04440417646982503,0.18415842034296775,0.24111944698009916,0.8094857481230499,-0.09059264958123707,0.13801226079833034,-0.6564101555702727,0.5116311629479997,0.09619071445717388,0.13820155583550908,0.6960175945606752,0.4864937475640403,0.32955413679832934,0.16421431496343705,2.0068538901234394,0.044891380163444836,0.5592862154119678,0.35283588907917507,1.5851171400720692,0.11308816411784478,-0.16445392536209325,0.35736133401338377,-0.46018947689492945,0.6454271959349236,0.5965003344961967,0.271774692336008,2.194833997857,0.028283098116309753,0.19722877174338035,0.20426935457906112,0.9655328482816753,0.33438760023358116
ALPHA,1693,1693,9,"log_daily_return,diff_VIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.007836572713608825,0.0024345939806521555,11138.742876901688,11192.906661693618,-5559.371438450844,0.7692345766097576,0.6451080841381008,2.019656717061087,0.01802914496847304,0.17296204955484043,0.10423757705736833,0.9169934595986915,-0.18692682886871556,0.24474168856592254,-0.7637719179107721,0.4451121731731066,0.053161143156839646,0.18235785439662827,0.29152099498392964,0.7706894664294395,0.09356643766283637,0.2772434279933895,0.337488388237168,0.7357916133128036,0.3181710573099374,0.22953001167783402,1.3861849916015299,0.16587737117673768,-0.17807442053933992,0.3273216221377735,-0.5440350056202102,0.5864907541410236,1.0535539089649426,0.5698434303642144,1.8488480393492746,0.0646582183372429,-0.24017891549838094,0.7468484417889393,-0.3215898997165692,0.7478040556247968,0.9152842001123886,0.7216309162002374,1.268355026876948,0.20484979227655828,-0.17033428518905536,0.171099366014736,-0.9955284414927946,0.3196250232987762
ANT,2627,2627,9,"log_daily_return,diff_VIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.018856931398573473,0.015482729022794683,18496.58217337607,18555.318151272928,-9238.291086688036,1.4051755155965657,0.1799287161656801,2.1528675699994637,0.0249959014691349,0.15926897069317167,0.15694143912871125,0.8753031071110133,-1.0723983822713254,0.4493032133897286,-2.3868032774141765,0.017066217352164174,0.02155513660157954,0.24072792388699638,0.08954148838876727,0.9286584348527864,-0.24059078771765163,0.30327696295163203,-0.7933038677785168,0.4276727211634729,0.14216637736877674,0.16904838316165868,0.8409804028283723,0.40043574576495744,0.4786543191725072,0.3085244334874536,1.551430834057336,0.12091938711621858,0.25706652850257133,0.3549233117852261,0.7242875290708698,0.46895397493506674,-0.24860153274794605,0.42161364706057075,-0.5896429930130581,0.5554809226279431,0.413190927604123,0.29397029290267784,1.405553341884496,0.15997550278075992,0.012521008853912573,0.3138130560059318,0.03989957911016901,0.968176230128815
BAL,1801,1801,9,"log_daily_return,diff_VIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.024562854559111225,0.01957765620081031,11246.67185254527,11301.464848923099,-5613.335926272635,3.1098801725503176,0.0010206677091955973,1.913152653427447,-0.1459680890117562,0.14002546221050235,-1.0424396156773275,0.2973509927790887,-0.7925167422715204,0.1903435450520617,-4.163612388614259,3.283877274085343e-05,-0.18324365649732663,0.16270285399684467,-1.1262473398338808,0.26021429469599344,-0.19090300324557966,0.24935437896455373,-0.7655891347820162,0.4440234069852089,-0.43571198104115694,0.20046027018083706,-2.1735577860296065,0.02987121639316226,0.7189783592111553,0.2661692070000948,2.701207879433248,0.006975048905000337,0.3167749338226205,0.48058147594376294,0.6591492799437179,0.5098860933945408,0.103506768724832,0.6734389169768407,0.15369882273731378,0.877864823516817,0.07632669794025228,0.49527434794205016,0.1541099357505649,0.8775407128897084,-0.06129588808514379,0.1468879955833912,-0.41729678345528864,0.6765122078654464
BAT,2794,2794,9,"log_daily_return,diff_VIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.005625876117137718,0.002376287476997696,17700.48634649591,17759.730688344785,-8840.243173247954,1.0014305359779436,0.43638963936573033,2.040810579836222,-0.019559491761470954,0.11145204580045855,-0.17549692893470853,0.8607020855277302,-0.3180353531477948,0.22237416125034004,-1.4301812376023453,0.15277844757684672,0.1753929349397608,0.16391440867753357,1.0700275610596794,0.2847006732097918,0.15718844140158802,0.2551726070446171,0.6160082903181827,0.5379399562583447,-0.06578209471574013,0.14478491312430372,-0.45434357279520926,0.6496173648581443,-0.1264872624064332,0.2679913400942703,-0.47198264825251174,0.6369765668152805,0.322821717004568,0.2715544595099147,1.1887918084172782,0.23462409651299837,0.11231076214943342,0.32300467822694545,0.3477063018589565,0.7280873352345436,0.11815758839045949,0.25173963566086716,0.46936426232711453,0.6388464448417039,-0.059149191546211066,0.24292014713413726,-0.2434923255400042,0.8076421647110966
BCH,2860,2860,9,"log_daily_return,diff_VIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.002045539055816503,-0.0011394219897500335,18266.364506381196,18325.844826287568,-9123.182253190598,0.7063625374541744,0.7036235174602465,1.9647251497445726,0.007936279911322668,0.11367937586152509,0.069812838530975,0.9443475783840694,0.15157439498235667,0.08684534220990196,1.7453370684636949,0.08103512765500699,0.19523344485464858,0.14597249719391422,1.3374673216372714,0.18117800155639097,-0.12950432133799827,0.2121175706942627,-0.6105308528384965,0.5415594116124816,0.02939552610490037,0.1458539384083488,0.20154084576448947,0.84029023032801,0.09762509034688274,0.17777751227352606,0.5491419533235345,0.5829515142634591,0.2532666270115535,0.2475215171617618,1.0232105471704795,0.3062960722340613,0.09637580947950142,0.3335092541752389,0.28897491830575045,0.7726218121120287,0.2338689379265598,0.20559075117952527,1.1375460062517186,0.2554067449755712,-0.1640578165992465,0.20311615825063015,-0.8077044092022035,0.4193288885018118
BNB,2877,2877,9,"log_daily_return,diff_VIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.011359113315550617,0.00822278339656568,18029.93183107244,18089.47204194522,-9004.96591553622,2.3305356355898432,0.01299481508790429,1.956955737540209,0.31564861779243514,0.10623482909577966,2.9712347680989937,0.0029909586994887327,0.33082549947678064,0.24912347671941276,1.3279579421147396,0.1842988299770354,0.3077508750109984,0.14444170285289948,2.1306234206087575,0.033205956842701716,-0.12872376550412354,0.497664607755788,-0.25865565583335665,0.7959197006597937,0.10637827208364067,0.12046927605233697,0.8830323844348947,0.3772935916322445,-0.17656477643649232,0.5094752489399741,-0.34656202986083634,0.7289460772507734,0.4103612506914872,0.2442359810311691,1.680183439634627,0.09303172454963109,0.2457943158636153,0.30814045681073027,0.7976697328471543,0.4251289305106666,0.054411294519583556,0.18573463466267448,0.2929517944695865,0.7695804232540633,-0.31364959232545525,0.1845318299876315,-1.699704556912908,0.08929613141636644
