group,proxy,n,nobs,n_regs,regs_used,opt_hac_lag,r2,adj_r2,aic,bic,log_likelihood,fstat,f_pval,durbin_watson,coef_Intercept,stderr_Intercept,tval_Intercept,pval_Intercept,coef_R_g_t_lag,stderr_R_g_t_lag,tval_R_g_t_lag,pval_R_g_t_lag,coef_log_diff_AdrActCnt,stderr_log_diff_AdrActCnt,tval_log_diff_AdrActCnt,pval_log_diff_AdrActCnt,coef_log_diff_volume_trusted_spot_usd_1d,stderr_log_diff_volume_trusted_spot_usd_1d,tval_log_diff_volume_trusted_spot_usd_1d,pval_log_diff_volume_trusted_spot_usd_1d,coef_log_diff_TxCnt,stderr_log_diff_TxCnt,tval_log_diff_TxCnt,pval_log_diff_TxCnt,coef_log_UnemRt,stderr_log_UnemRt,tval_log_UnemRt,pval_log_UnemRt,coef_log_IndPro,stderr_log_IndPro,tval_log_IndPro,pval_log_IndPro,coef_log_CPIPrc,stderr_log_CPIPrc,tval_log_CPIPrc,pval_log_CPIPrc,coef_log_TotRes,stderr_log_TotRes,tval_log_TotRes,pval_log_TotRes,coef_EPU_DUS,stderr_EPU_DUS,tval_EPU_DUS,pval_EPU_DUS,coef_VIX,stderr_VIX,tval_VIX,pval_VIX,coef_InvSIX,stderr_InvSIX,tval_InvSIX,pval_InvSIX,coef_TwitSIX,stderr_TwitSIX,tval_TwitSIX,pval_TwitSIX,coef_ConSIX,stderr_ConSIX,tval_ConSIX,pval_ConSIX,coef_fng_value,stderr_fng_value,tval_fng_value,pval_fng_value
Asset,ConSIX,1922,1922,9,"R_g_t_lag,ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.015748616104513946,0.011115633648938972,13794.078303254697,13849.689519149999,-6887.0391516273485,0.5367176416827744,0.8486000631279099,2.017900029861347,0.1916286688264612,0.19916451412356448,0.9621627109113026,0.3360895407999305,-0.15326296933102962,0.15847509446234043,-0.9671107617951324,0.3336109765861289,0.6065720828629493,0.537597800534797,1.1283009012677085,0.25933441824835457,0.16421737178502915,0.10395802033501869,1.5796508172800579,0.11435226283554076,-1.0855738519670892,0.9554462751705377,-1.1361955979924931,0.25601710075112594,-1.8768787997682015,2.019535101300066,-0.929361811319828,0.3528189256600719,-0.9960685665873994,1.0250267325276405,-0.9717488675940846,0.3312984133124566,-0.8078436755098543,0.8873650700664044,-0.9103848041363637,0.3627343604161173,0.03826761938722011,0.08593422610103249,0.44531289945206515,0.6561440586188951,,,,,,,,,,,,,,,,,0.7888474167421535,0.792340069913308,0.9955919771020333,0.3195744127138898,,,,
Asset,EPU_DUS,1922,1922,9,"R_g_t_lag,EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.010151701082066977,0.005492373315193921,13804.976739225278,13860.58795512058,-6892.488369612639,0.5694094642538783,0.8230826415311081,2.0062845079759337,0.19162866882646035,0.19972998280484847,0.9594386688236802,0.3374591093571545,-0.08782112852333496,0.09427026678754624,-0.9315888404267966,0.35166666502457233,0.602804516487286,0.535525072752344,1.125632668119828,0.26046230552750804,0.1493624375075794,0.08167317933441204,1.828781966427592,0.06758797535267536,-1.0567712605554833,0.930994458018716,-1.135099410585577,0.25647594185097644,-1.3402581824786697,1.4939281721634128,-0.8971369624402973,0.36975878287152597,-1.1550251701836467,1.1865981381804103,-0.9733920297185202,0.33048162603494013,-0.5702609072290561,0.6637109831659006,-0.8592006486150225,0.3903375312869064,0.039005254103060084,0.08785424063014147,0.44397690792489725,0.6571095196238907,-0.19187051523151294,0.20487310730195096,-0.9365334365174917,0.3491168792729681,,,,,,,,,,,,,,,,,,,,
Asset,InvSIX,1922,1922,9,"R_g_t_lag,InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.012965574291939674,0.008319491744150698,13799.505228048156,13855.116443943458,-6889.752614024078,0.7647603967791933,0.6492940404181484,2.0119550812178955,0.19162866882645385,0.19944589137814273,0.9608052966262028,0.33677156085754023,-0.12108959898175764,0.12000584423568914,-1.0090308497304517,0.31308751390931744,0.610678757247558,0.5412528451672126,1.128268909254227,0.2593479214900731,0.1520626519638385,0.08561664081062077,1.7760875750800897,0.07587748443789603,-1.074271628583649,0.9438212081916694,-1.138215182345731,0.2551732400762742,-1.776403983707192,1.862870204673985,-0.9535844092895753,0.34041458721533735,-1.2112990906104757,1.206066727840055,-1.0043383692209065,0.3153426302977528,-0.9343314542555143,0.9809900729455652,-0.9524372162605564,0.34099567791149443,-0.021892241434820037,0.08053252062656979,-0.2718434896175001,0.7857717133487976,,,,,,,,,0.5204547430034923,0.4267588317246158,1.2195523661460805,0.22278502988447546,,,,,,,,,,,,
Asset,TwitSIX,1239,1239,9,"R_g_t_lag,TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.01921254784049342,0.012030214993108967,9421.211058657129,9472.43165747342,-4700.605529328564,0.5086526118188233,0.8690906190709513,2.0132377250259497,0.29807899909840563,0.30665065704187916,0.9720474822191465,0.33121819587456336,-0.21421984568901437,0.214136650426443,-1.0003885148217537,0.31731944659237593,0.9794650070303095,0.8972506513588683,1.0916291958628608,0.2752100707931119,0.22313129828196684,0.1509313573332975,1.4783627618827562,0.13956693862688996,-1.7003843640804177,1.5201811358540964,-1.118540629123829,0.26355474259006306,-2.68165107983565,2.7844028018035973,-0.9630973931281099,0.33568810358907697,-0.4540570193432581,0.5305172148442269,-0.8558761273686106,0.39223313097912693,-2.599574302881559,2.6161514090010045,-0.9936635524754374,0.320582285794543,-0.5319818389261569,0.5407078045344188,-0.983861957354628,0.32537703370381577,,,,,,,,,,,,,0.2305190486496263,0.3221318506928658,0.7156046449731944,0.47437143359716794,,,,,,,,
Asset,VIX,1922,1922,9,"R_g_t_lag,VIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.013934955688585826,0.00929343612854261,13797.616675319245,13853.227891214547,-6888.808337659622,0.5437673054418634,0.8432276001441494,2.017047763132956,0.19162866882644777,0.1993479279103234,0.9612774551268567,0.33653422828940305,-0.13580021828884997,0.14186270764812267,-0.957265094824567,0.33855448972366253,0.6148130618834085,0.545412797342413,1.1272435573187067,0.2597809618593399,0.1535693709215248,0.09114912641405656,1.68481451181349,0.0921875606161656,-1.0585425303501932,0.9289222980842018,-1.139538293497011,0.2546214433228284,-1.7166371836179144,1.8650336700840175,-0.9204322748449801,0.3574630211932669,-1.4555648235082228,1.488891357657879,-0.9776165440290546,0.3283876861036269,-0.9328933033064833,1.0156768878103464,-0.9184941731987891,0.3584760583595822,-0.03262200238193465,0.0881155330568043,-0.3702185216414074,0.7112606825491938,,,,,-0.6943018040153082,0.7119413774610802,-0.9752232782020928,0.3295728823900467,,,,,,,,,,,,,,,,
Asset,fng_value,1921,1921,9,"R_g_t_lag,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.014471260654759788,0.009829838020480874,13790.376974409983,13845.982986037669,-6885.188487204991,0.8320283095117813,0.586520288654298,2.0154712007582143,0.19089212729847319,0.1993963773148854,0.9573500274632253,0.3385117081060094,-0.12139423568116864,0.11907336248987976,-1.0194911199512495,0.30809891296126757,0.6123645140459604,0.543058905591443,1.1276207935104885,0.25962165822460265,0.1509498659385147,0.08780012486491265,1.7192443196494636,0.0857318300358957,-1.0794578015789038,0.9479632997166643,-1.138712650480817,0.25496575063911825,-2.2246852523210365,2.209668672448253,-1.0067958513690407,0.3141603494332256,-1.410296038418296,1.3590281573059266,-1.0377239285564182,0.29952988580898104,-1.2096102415568382,1.1919311683048788,-1.014832293778425,0.3103142438310607,0.06442858877904165,0.0968627349316492,0.6651535167214246,0.5060325721812808,,,,,,,,,,,,,,,,,,,,,0.6712030546009272,0.5367926846900606,1.2503953085509614,0.2113082616104562
Asset,no_sentiment,1922,1922,8,"R_g_t_lag,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.009821604081243773,0.005680763951944279,13803.617585576609,13853.667679882381,-6892.808792788304,0.6309880353299868,0.7523095271374289,2.005733839671579,0.19162866882646157,0.1997110643774087,0.9595295554798444,0.33741329299585887,-0.08640008379138216,0.09292648427269269,-0.9297681330312807,0.3526084561476145,0.603740776626774,0.536383799655526,1.1255760837939284,0.26048618714390664,0.14769565515124444,0.08056434571410538,1.8332632610877837,0.06691873810789198,-1.060196926416917,0.9343588531945957,-1.1346785261273846,0.25665219268609857,-1.4593345803978668,1.6103969352562404,-0.9061955772821083,0.3649464657922501,-1.0307817034460658,1.063869723354057,-0.968898428838002,0.3327183487802253,-0.7514391198722545,0.8345188655071727,-0.9004459346950449,0.36799632360677514,0.02780541948060683,0.0823996113663899,0.3374460027119548,0.735817731774588,,,,,,,,,,,,,,,,,,,,,,,,
Hybrid (A-P),ConSIX,2490,2490,9,"R_g_t_lag,ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0099226830901461,0.0063296605691022245,12628.32611566286,12686.526495557448,-6304.16305783143,0.7557074335025538,0.6577630635987003,1.8043394834316933,0.034708072384629134,0.061105520800832286,0.5680022349822832,0.5700848700084842,-0.2471241812045048,0.1751199789456809,-1.4111706881894859,0.1583197243622174,-0.2165263797293833,0.1205228862851354,-1.7965582007148497,0.07252743518533157,-0.010350285299228233,0.09021821989525262,-0.11472500024103087,0.9086723846417059,0.07620758581692433,0.1680826482683493,0.4533935334910746,0.650305059116157,-0.026955402481644505,0.05663189999014879,-0.475975598317087,0.6341336878210091,0.016587115199975026,0.02389409368299617,0.6941931098135338,0.48762613373951147,-0.03076025127962663,0.04876538986250647,-0.6307803826926197,0.5282422548667285,-0.05674728936545241,0.06714778411152872,-0.8451103802799856,0.39813073593739123,,,,,,,,,,,,,,,,,0.023711577321906995,0.05353068190801095,0.442953022019294,0.6578383479692287,,,,
Hybrid (A-P),EPU_DUS,2490,2490,9,"R_g_t_lag,EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.009992557080400477,0.006399788134321294,12628.150379513241,12686.35075940783,-6304.075189756621,0.9529019669212863,0.4775469358986425,1.8043136396699817,0.03470807238462996,0.06110336452382965,0.5680222792166246,0.5700712617632537,-0.2473296861931046,0.1749405169233245,-1.41379304544703,0.15754818824487968,-0.21549558454628337,0.12068758587874596,-1.78556545793194,0.07429180423698921,-0.011444920111493423,0.09096931564805281,-0.1258107750944524,0.899891910078534,0.07570920344707438,0.1671926976424049,0.4528260176111444,0.6507136380748285,-0.05126555746231087,0.052071684950413546,-0.9845188898943769,0.32495648559044144,0.03984970948642088,0.03268667947041602,1.2191421744900077,0.22290617755847253,-0.081677118716164,0.06167260259620083,-1.3243663357446096,0.18550344360924506,-0.0660924682148075,0.08500097773487757,-0.7775495056180803,0.4369088037416994,0.03677162260399278,0.034587348960715025,1.0631523868961075,0.28781635950005263,,,,,,,,,,,,,,,,,,,,
Hybrid (A-P),InvSIX,2490,2490,9,"R_g_t_lag,InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.009927592284601161,0.006334587579182371,12628.313769228607,12686.514149123195,-6304.156884614304,0.7598060297528346,0.6539320176352498,1.804378661934801,0.03470807238462978,0.06110536930799,0.5680036431772524,0.5700839139647861,-0.24719895474189932,0.17493919488364088,-1.4130564331585116,0.15776462195251964,-0.21719439583268796,0.12065072986812143,-1.8001913131407876,0.07195191170109565,-0.010534488182678395,0.09027249930635925,-0.11669653841007914,0.9071099823877037,0.07715416552213794,0.16796398421722541,0.4593494604316814,0.6460234948279742,-0.02688008683762662,0.06684957896213105,-0.40209807234318784,0.6876465022315668,0.0230090370242426,0.02385429536071152,0.964565780557028,0.3348563898638034,-0.04527620411074077,0.07851792849027177,-0.5766352345420118,0.5642382238821191,-0.06691875316425182,0.0846469379454212,-0.7905631885632981,0.42927452512046615,,,,,,,,,-0.017010015843339048,0.015169757697621212,-1.1213109782238915,0.26226407596330825,,,,,,,,,,,,
