symbol,n,nobs,n_regs,regs_used,opt_hac_lag,r2,adj_r2,aic,bic,log_likelihood,fstat,f_pval,durbin_watson,coef_Intercept,stderr_Intercept,tval_Intercept,pval_Intercept,coef_log_daily_return,stderr_log_daily_return,tval_log_daily_return,pval_log_daily_return,coef_log_diff_AdrActCnt,stderr_log_diff_AdrActCnt,tval_log_diff_AdrActCnt,pval_log_diff_AdrActCnt,coef_log_diff_volume_trusted_spot_usd_1d,stderr_log_diff_volume_trusted_spot_usd_1d,tval_log_diff_volume_trusted_spot_usd_1d,pval_log_diff_volume_trusted_spot_usd_1d,coef_log_diff_TxCnt,stderr_log_diff_TxCnt,tval_log_diff_TxCnt,pval_log_diff_TxCnt,coef_log_UnemRt,stderr_log_UnemRt,tval_log_UnemRt,pval_log_UnemRt,coef_log_IndPro,stderr_log_IndPro,tval_log_IndPro,pval_log_IndPro,coef_log_CPIPrc,stderr_log_CPIPrc,tval_log_CPIPrc,pval_log_CPIPrc,coef_log_TotRes,stderr_log_TotRes,tval_log_TotRes,pval_log_TotRes
1INCH,1616,1616,8,"log_daily_return,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.004523070974194798,-0.0005269071058346952,10033.474648593317,10081.795382213071,-5007.737324296659,0.6677311543040331,0.7203697282516479,1.998550794940809,-0.07797944887253531,0.15084109405877905,-0.5169642222440302,0.6052536273416451,-0.15210686906870638,0.213180823880346,-0.7135110292756952,0.47563516647244963,0.1918707157864674,0.3053560595421554,0.6283507721253491,0.5298651666834288,0.21292507906482608,0.19383459465513656,1.0984885306137153,0.2721589040670595,-0.15227462226000238,0.34476906994186884,-0.44167135493238197,0.6587875949216755,0.6974870082398223,0.5364834898898797,1.3001089900883822,0.19375359928737393,-0.3076008835721416,0.6387766997100183,-0.4815468123865216,0.6301947306451889,0.8493084844570445,0.6986647407818647,1.2156166396870076,0.2243129374806863,-0.09803825228561609,0.1707465278969912,-0.5741742071895077,0.5659318063233403
AAVE,1694,1694,8,"log_daily_return,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.014155081507001177,0.00938966800371166,10686.232052991407,10734.984869583837,-5334.116026495703,3.1903221690261274,0.0013433185341965865,1.9165984664005662,0.04781180732986988,0.149295484616244,0.32024952029036613,0.7488196130325218,-0.6652131633274695,0.141603427957515,-4.697719348482525,2.848325871966854e-06,0.01494863845626887,0.3660415746410701,0.040838635531843824,0.96742946419631,0.1129559482113936,0.34610352735659766,0.32636462585084475,0.7441897625882283,0.014203774630755478,0.4788169569920057,0.02966430996927417,0.9763383525389124,0.7644985400019619,0.4728202999174302,1.6168902649388537,0.10609254442333547,0.39962548356951416,0.7139428557280617,0.5597443553966035,0.5757295696230862,0.28527628531668364,0.7060554641928537,0.4040423164811916,0.6862338046959131,-0.12254013859203454,0.15078445264309773,-0.8126841756164568,0.41651604134341913
ADA,2738,2738,8,"log_daily_return,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.006030412851577793,0.003084226598451645,17225.271735492635,17278.407426198926,-8603.635867746318,2.1690283593303974,0.026982724966343404,2.0757502477379894,0.07283123417811896,0.11102803171942302,0.6559715870868492,0.5118983199374236,-0.15339875307620968,0.10531623017058901,-1.4565537792962928,0.14535591306285814,-0.30210389055099307,0.22206788669053198,-1.3604123272988011,0.17381308088724123,0.06520945217945155,0.13667571168392317,0.47711075637385525,0.6333218843724495,0.3532820903908435,0.20925506297083069,1.6882845527139747,0.09147214352427702,0.5945974040320338,0.2616559593710337,2.2724397543297763,0.023138288019592803,-0.0029942869351292645,0.3180624977292852,-0.009414146453939419,0.9924894045973737,0.4879349927077936,0.2377119335590876,2.052631457757709,0.040204560256977766,-0.09266776496670534,0.1990897317820761,-0.4654572796759785,0.6416415768718743
ALGO,2170,2170,8,"log_daily_return,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.008072389730753637,0.0043485882844119805,13734.420489689652,13785.437539661794,-6858.210244844826,1.9916544827605667,0.04388880115563274,2.0522126333402495,-0.09398984768251832,0.12814347135730828,-0.7334735565297911,0.46335033131475134,-0.07824032111607741,0.2234300758717012,-0.35017810744962036,0.7262396426562039,-0.09059409723198544,0.13792920992454163,-0.6568158933234497,0.5113702266821991,0.10086174164988786,0.13547731795693924,0.7444917213518076,0.45666113662732977,0.32867425930109184,0.163984085054349,2.0043058397536555,0.04516363430746889,0.5580474719230774,0.35385074259338234,1.577070229761654,0.1149277922797619,-0.1648622022792524,0.3578096365444532,-0.4607539469071019,0.6450221617677274,0.5957113634115594,0.271933714518166,2.1906491604657723,0.02858517252496064,0.19815990440879733,0.20452729739587514,0.9688677596186424,0.3327211208728901
ALPHA,1693,1693,8,"log_daily_return,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.007780899581120715,0.002981774548864946,11136.836189978236,11185.583596290971,-5559.418094989118,0.8524585963257467,0.5563925556210968,2.0199365775094433,0.018228266815710603,0.1728882585572332,0.10543380428391723,0.9160443779470004,-0.20158374240019164,0.23154920498484724,-0.8705870633992608,0.3841059954521655,0.09405910072850762,0.27717485033822065,0.3393493335117983,0.7343896633210683,0.3222913190248433,0.2301735836399228,1.4002098500105336,0.1616380367044719,-0.1763856349297979,0.32708031799166165,-0.5392731547188191,0.5897709708879526,1.0551057189427357,0.5697323922193738,1.8519321234880224,0.06421366276860259,-0.24094607522031364,0.7464418909089964,-0.3227928096678713,0.7468929581420016,0.9172737317885669,0.7210527088554076,1.2721313165089396,0.20350528584133606,-0.17007716283349675,0.17103512660246603,-0.9943990232416066,0.3201740941762395
ANT,2627,2627,8,"log_daily_return,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.018850331001907583,0.015852165474029567,18494.59984580762,18547.46222591479,-9238.29992290381,1.5682082156836947,0.12907539471067492,2.1532589434276947,0.02499590146913492,0.15923908534430806,0.15697089326460634,0.8752798915119921,-1.0765471877119166,0.4428260180710442,-2.431083865400163,0.015120435538220805,-0.24033596750154385,0.3033086823891325,-0.7923807706671672,0.42821048243153736,0.14319365878510187,0.16889461404073416,0.8478284497015771,0.3966110202066322,0.4788247931606821,0.30829088965020973,1.553159075521051,0.1205060063808254,0.2560486542034307,0.35652996986407287,0.7181686698064943,0.4727173758016423,-0.24889551528721035,0.42235099411080723,-0.5893096470891946,0.5557044225205799,0.412290975345801,0.2937488465655891,1.4035492570138262,0.16057171265203898,0.013080734024716878,0.31452089186450566,0.04158939632649906,0.9668291978071959
BAL,1801,1801,8,"log_daily_return,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.02357216002018403,0.01913888946408937,11246.46964101139,11295.783337751436,-5614.234820505695,2.9061899103388713,0.00319306332161235,1.8939383140733257,-0.14667175593070916,0.14010160421441184,-1.0468956208827014,0.2952913078150554,-0.7858067246264047,0.21309167975045454,-3.6876462072411273,0.000233198429640002,-0.1974209270266623,0.24906896299859207,-0.7926356003970606,0.42809686852484097,-0.44766722037739254,0.20113864111116056,-2.225664933919815,0.026162740339813,0.7261565411036763,0.26568244021053633,2.7331747650625453,0.006335406632487081,0.3210352454712784,0.48020994502350095,0.668531022312683,0.5038822549902717,0.11988617546281444,0.6736288453494188,0.1779706678098503,0.85876646930224,0.06506582501455849,0.4956121177858931,0.13128376542775988,0.8955658215698714,-0.06413591178985811,0.14715064775634543,-0.43585205208240374,0.6629974652991186
BAT,2794,2794,8,"log_daily_return,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.004784869491868404,0.001894952597470967,17700.823052371823,17754.14296003581,-8841.411526185911,0.7888974725381639,0.6124586939742644,2.0452050390102627,-0.019452108455498513,0.11148748288527291,-0.17447795888903386,0.8615026714593483,-0.3530429580351521,0.22306144799594602,-1.5827161582918103,0.1136009556576661,0.1547458849565689,0.2549720226535038,0.6069131952051932,0.543958532090143,-0.05773321451804643,0.14547780312174,-0.3968523945177645,0.6915070498272593,-0.1199220975307389,0.26799165370599765,-0.4474844491325106,0.6545604938464202,0.31667535734144037,0.2722089412047544,1.1633539880794677,0.24478665774649616,0.11224962037501934,0.32282004794898334,0.3477157663787927,0.7280802177681577,0.11120600010679622,0.25203803172674705,0.4412270614276294,0.659083247743152,-0.05493035828300202,0.2434982158164397,-0.2255883399343307,0.8215383430041538
BCH,2860,2860,8,"log_daily_return,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.00104387104360526,-0.0017890424734636756,18267.203612675334,18320.73590059107,-9124.601806337667,0.5676687366671718,0.8051639966900024,1.9767872508268933,0.008009783462972743,0.11373464778602405,0.0704251836963705,0.9438602391190789,0.11879910987442883,0.07987190523170735,1.487370428059706,0.13702876323890517,-0.12829075231234374,0.21161200561411803,-0.6062546023323765,0.5443944788546606,0.04421621976520737,0.1481582810337748,0.29843907108457646,0.7653900523994484,0.09692026933888705,0.1775709570900538,0.5458114937665998,0.5852386784909,0.24462852129616183,0.24827188783780182,0.9853250943013724,0.32454890980041173,0.09501979583066517,0.33438794311126474,0.2841603526328344,0.7763083525706743,0.225745844345748,0.2054829558208086,1.098611042672608,0.27203151240959617,-0.16023645209309778,0.20310517974621276,-0.7889333609970903,0.4302172526232373
BNB,2877,2877,8,"log_daily_return,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.008519951384936664,0.005725081621398731,18036.09607943894,18089.682269224442,-9009.04803971947,2.1704217263747854,0.02686211227893419,1.973469076440901,0.31574603466211193,0.10637934871798306,2.968114003961148,0.0030213899650102793,0.2968870332211921,0.23943975484951788,1.2399237269841779,0.21510611731956625,-0.11386507045537327,0.4982967098172831,-0.22850857373135305,0.8192673548486775,0.12179264283728533,0.12156381990391973,1.001882327599992,0.3164858426617881,-0.19257988521547723,0.5112995845430135,-0.37664784216009134,0.7064634860534449,0.39852085566989465,0.2450134337769407,1.6265265521428776,0.1039487086178988,0.24620532164664116,0.3090319050139591,0.7966987150906634,0.4256926720328559,0.04065434965970863,0.1864176083769763,0.2180821329790737,0.8273807972280304,-0.3070255001789158,0.1848825556617337,-1.6606515367553563,0.09689391648683385
