symbol,n,nobs,n_regs,regs_used,opt_hac_lag,r2,adj_r2,aic,bic,log_likelihood,fstat,f_pval,durbin_watson,coef_Intercept,stderr_Intercept,tval_Intercept,pval_Intercept,coef_log_daily_return,stderr_log_daily_return,tval_log_daily_return,pval_log_daily_return,coef_diff_TwitSIX,stderr_diff_TwitSIX,tval_diff_TwitSIX,pval_diff_TwitSIX,coef_log_diff_AdrActCnt,stderr_log_diff_AdrActCnt,tval_log_diff_AdrActCnt,pval_log_diff_AdrActCnt,coef_log_diff_volume_trusted_spot_usd_1d,stderr_log_diff_volume_trusted_spot_usd_1d,tval_log_diff_volume_trusted_spot_usd_1d,pval_log_diff_volume_trusted_spot_usd_1d,coef_log_diff_TxCnt,stderr_log_diff_TxCnt,tval_log_diff_TxCnt,pval_log_diff_TxCnt,coef_log_UnemRt,stderr_log_UnemRt,tval_log_UnemRt,pval_log_UnemRt,coef_log_IndPro,stderr_log_IndPro,tval_log_IndPro,pval_log_IndPro,coef_log_CPIPrc,stderr_log_CPIPrc,tval_log_CPIPrc,pval_log_CPIPrc,coef_log_TotRes,stderr_log_TotRes,tval_log_TotRes,pval_log_TotRes
1INCH,1616,1616,9,"log_daily_return,diff_TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0069962231718755374,-0.0030228732310988438,5931.24820354561,5979.294348746236,-2955.624101772805,0.9402520162488318,0.4889853184004952,1.9858429679185847,-0.039129995682384955,0.6957427178566765,-0.056242048501678694,0.9551615793467758,-0.1722998438529556,0.27758447668618424,-0.6207113809456449,0.5349481004718442,-0.17746534293513705,0.08255720059655998,-2.14960465777387,0.03185485543111299,0.1912577812473785,0.43518732987005726,0.4394837995501529,0.66041746650493,0.18154890399546453,0.25321988775172827,0.7169614741061168,0.47358555452530593,-0.08835080684244266,0.5086509098586289,-0.17369635073885606,0.8621435151532534,0.8872927643866889,1.04155390899081,0.85189326901611,0.39450198497396693,-0.1882182179602987,0.8382645852777888,-0.22453318590087626,0.8223938690656466,0.9892095869295747,1.463952503857818,0.6757115304784839,0.49939895010815727,-0.06900279567567713,0.20896108254188162,-0.3302184063955883,0.7413124789205444
AAVE,1694,1694,9,"log_daily_return,diff_TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.00678408662448049,-0.0024313187573541395,6485.811089452121,6534.686615168767,-3232.9055447260607,1.0086652035513215,0.4309919021557278,2.021336041295994,0.38817868595477545,0.630750763069596,0.6154232522298898,0.5384195988764212,0.4477271953076117,0.7021792153002555,0.6376252465920131,0.5238681340805924,-0.22384385626371436,0.10362301081491913,-2.1601751821660677,0.031003469629260327,0.03461256541106339,0.5466351348796749,0.06331932069950516,0.9495252762838766,-0.029242443394638412,0.45952649778744553,-0.06363603303712974,0.9492731505163953,0.14694020753491105,0.7740370474439848,0.18983614288248232,0.8494772502323689,1.3618481255809163,1.0570889142835374,1.2883004515319654,0.1979486090042173,0.7878722373823057,0.8954315549005565,0.8798799116140196,0.37914229813520517,0.8435955668973156,1.419914028640717,0.5941173549111908,0.5525721549395162,-0.030727676803508436,0.20672006340878843,-0.1486439017907252,0.8818655244494247
ADA,2738,2738,9,"log_daily_return,diff_TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.010387667061279915,0.005965367658872456,13085.999341634193,13142.127651938266,-6532.999670817097,2.5740830770800134,0.006031167353963276,1.9928014246631358,-0.043228995903700926,0.13032565657357015,-0.3316998129167124,0.7401504545463371,-0.8172334425067346,0.5116695408561378,-1.5971899385281365,0.1103802501242846,-0.10024278645344105,0.09623438392053922,-1.041652498510424,0.29769784220909573,-0.3574284781754685,0.2758889036946862,-1.2955522073878638,0.1952782711822217,0.2074490283650392,0.153861822896775,1.3482813634946698,0.17771951195498747,0.4254282618062555,0.26479246629781084,1.60664790714921,0.10828838533803552,0.6331778250073452,0.2696248989069645,2.3483655536791748,0.018952236924200144,0.053630889489309386,0.32811511616756545,0.16345144385826033,0.8701794006248116,0.27495171542769564,0.3390097653163722,0.8110436440410617,0.4174364397926349,-0.08025135818953896,0.21158237275842778,-0.3792913234845192,0.7045115270680602
ALGO,2170,2170,9,"log_daily_return,diff_TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.013180411520999913,0.007038380887313234,9550.168387943973,9603.00287023154,-4765.084193971987,2.4089745066927084,0.010339664437508311,2.003250418817906,-0.12233644148130793,0.19426706049562212,-0.6297333226188637,0.5289685632048391,-0.4311641233720983,0.23746219968769033,-1.8157168759455788,0.06962084972437238,-0.09764065215798706,0.09602255360015488,-1.0168512343940577,0.3093943086347038,0.09060310068667787,0.21359077716269187,0.4241901354086351,0.6714902522879934,0.19572852402448956,0.16576123198108594,1.1807858911595386,0.23788197451704077,0.2366380784123495,0.16989802499458828,1.3928241862722481,0.16388706411428292,0.6022556476437665,0.3757675637616169,1.602734524541962,0.10921167772865223,-0.15343888291643218,0.3761669992399788,-0.4079009674597866,0.6834067682896983,0.584656314631128,0.457298072739381,1.2785015933455066,0.20127778721120068,0.21274444646631555,0.22691912980765722,0.9375342072157754,0.3486403965895656
ALPHA,1693,1693,9,"log_daily_return,diff_TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.014517486653035871,0.005364398293775996,6843.05686269032,6891.922179115625,-3411.52843134516,1.1617030761297156,0.31629254183181715,1.9953717419734782,0.9494401393201264,0.8444631362660332,1.1243121203825077,0.26115907365139407,-0.4391037412463303,0.34605757652453467,-1.2688748087999133,0.204790428509598,-0.1053330043900628,0.13864717781595076,-0.7597197869392527,0.4476068837702597,0.05828885082397528,0.4653063624316156,0.12526983409246156,0.9003359166248062,0.6921937917245293,0.3564834678142367,1.9417276093297855,0.0524596407422145,-0.522385838896195,0.5474494839208123,-0.9542174287112075,0.3402115684924806,2.388738497221388,1.254277385239678,1.904473863064132,0.057144404608024335,0.13189501445562168,0.978736931672811,0.1347604347883276,0.8928292744747541,2.8001084324758443,1.778346031512714,1.5745576973531912,0.1156849898467793,-0.04003954486252845,0.24076084149748236,-0.16630422378278298,0.8679522354828904
ANT,2627,2627,9,"log_daily_return,diff_TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.029241040511466476,0.025096433948185393,15269.099330749661,15325.681606011274,-7624.5496653748305,3.787538587354831,9.408543732284455e-05,2.024618953209192,0.022859529578284694,0.16967496482163466,0.1347254122157328,0.8928418421787732,-2.039848693295504,0.4304392604576297,-4.738993118626771,2.2911704431624264e-06,-0.3526629384049469,0.16781366122321337,-2.1015150723388403,0.035714189890574816,-0.22694005782234522,0.3946776529874346,-0.5750010321196735,0.5653519617834442,0.1783249196026762,0.1710304044050172,1.04265040021998,0.29722979526548104,0.5823729106836527,0.4088144087775072,1.4245410586802552,0.15443792842471307,0.2547270852231536,0.3712650279147045,0.6861057898555297,0.49272185341746955,-0.3163047618947483,0.43951747998459173,-0.719663668225066,0.4718118788978507,0.5063649504547973,0.402952685117816,1.2566362482650921,0.20902461285060028,0.05716793140286508,0.3344400537590919,0.17093625826302794,0.8642902914039866
BAL,1801,1801,9,"log_daily_return,diff_TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.00662442541263264,-0.0016767632329444115,7157.186027398658,7207.09779626987,-3568.593013699329,0.7874657491574231,0.6280722919889357,1.9996826336470286,0.004098278036809233,0.5420464916912301,0.007560750045669081,0.9939688519491744,-0.22017664378572438,0.3935538905977662,-0.5594574187827229,0.5759659060636525,-0.05494617263129391,0.08796160425243083,-0.6246608744607505,0.5323259647569574,-0.1913409097883911,0.28755590469339626,-0.6654042106782906,0.5059344634732167,-0.4906106047858035,0.25066359034050817,-1.957247177858359,0.05057642123621695,0.6925199274538967,0.34589874462853415,2.0020885828816875,0.04552560383476173,0.6184204885721319,1.112288100156497,0.5559894855344772,0.5783335262977736,0.1436230399588715,0.8037718844776754,0.1786863197537741,0.8582176178434737,0.4823922721422469,1.3355926156828506,0.36118219468862023,0.7180340885173772,-0.02625228710419507,0.20502822469866366,-0.1280423080421189,0.8981393955284221
BAT,2794,2794,9,"log_daily_return,diff_TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.010387751850487348,0.006085089902011176,13650.424782318749,13706.826014045702,-6815.212391159374,1.6167619434649223,0.10485449877174878,1.994697408690467,-0.14286548355477846,0.13861963808200212,-1.030629465864459,0.30283501534417423,-0.6086819621790094,0.19752063545879053,-3.081612008614669,0.0020859439097989166,-0.05299727846543996,0.11718232290170037,-0.45226342295584365,0.6511266116973872,0.0812692131768532,0.3008811837393236,0.2701040063949727,0.7871071647922568,-0.04139943524803692,0.17459502857010226,-0.237116919004452,0.8125895506061486,0.004975328318887057,0.32234444982470517,0.015434819248765415,0.9876867724185266,0.33218102248718595,0.28456218601302424,1.1673407037714498,0.24320725475783364,0.16069729116755394,0.33537499585078046,0.47915704258123504,0.631877524729711,-0.1304064581648307,0.35927030752974515,-0.3629758859324436,0.7166599574052319,-0.03419614558901149,0.26325146813642986,-0.12989916383406214,0.8966588268107651
BCH,2860,2860,9,"log_daily_return,diff_TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.001987938540563672,-0.0022171684599676666,14106.96107749528,14163.674686727187,-7043.48053874764,0.40358084594787136,0.9337495980517209,1.9975932900804148,-0.11008819728728751,0.12253490847330964,-0.8984231404658596,0.3690612639730039,0.3490804814266987,0.619524856779373,0.5634648515015342,0.5731775326956043,0.003589322636923877,0.10532945881096961,0.03407710129191383,0.9728188523616921,-0.07126326767773239,0.3090982916243967,-0.23055212406132777,0.8176848435999622,0.14461546627784466,0.18501948550158856,0.7816228971007652,0.43452285257909473,-0.11006305601046071,0.2978011868276627,-0.3695856862859116,0.7117278539613985,0.27374416237819693,0.25730282723974,1.0638987737322365,0.2874948139772394,0.1486186553716632,0.3466698666270896,0.42870370250994805,0.6681820944346681,0.027590370231717343,0.2984149688344979,0.0924563882953843,0.9263441100791018,-0.1473275649860157,0.21343976080788485,-0.6902536079893,0.490109707397395
BNB,2877,2877,9,"log_daily_return,diff_TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.010625637244921826,0.0064898410234653925,14181.472644112051,14238.265158371581,-7080.7363220560255,2.3277086093651698,0.013184965566148342,2.005127659821486,0.10449368261695793,0.10994167565861855,0.950446516218497,0.3419920954851595,0.4209606045883836,0.3743376075420927,1.1245479911901406,0.260905979821616,-0.03662997032008562,0.06717666268027583,-0.5452782091069966,0.5856186704897717,-0.11455857270489322,0.4991559144530656,-0.2295045884218705,0.8184985547655119,0.1332778200009468,0.18189488776326249,0.7327188885836574,0.46380966228012477,-0.20206679689962492,0.5136603124204515,-0.39338604134598815,0.6940733280878879,0.3732300371473908,0.2550684233027498,1.4632545742613963,0.14354370099264072,0.32074257116980504,0.31993559957320483,1.0025222938543779,0.3162040624412549,-0.39764413326213466,0.2901246283873805,-1.3705976478880375,0.17064328902885925,-0.23550020232435215,0.19710998167754215,-1.1947654822961409,0.23231026747755415
